gene_id	gene_name	total_unique_exons	shared_exons
ENSG00000160209	PDXK	69	24
ENSG00000171703	TCEA2	64	24
ENSG00000125999	BPIFB1	63	24
ENSG00000149633	KIAA1755	52	24
ENSG00000132635	PCED1A	50	24
ENSG00000101161	PRPF6	45	24
ENSG00000196132	MYT1	43	24
ENSG00000124214	STAU1	43	24
ENSG00000274391	TPTE	31	24
ENSG00000205581	HMGN1	72	23
ENSG00000101017	CD40	71	23
ENSG00000101251	SEL1L2	64	23
ENSG00000088833	NSFL1C	62	23
ENSG00000166979	EVA1C	60	23
ENSG00000101052	IFT52	59	23
ENSG00000101290	CDS2	57	23
ENSG00000101464	PIGU	51	23
ENSG00000124092	CTCFL	46	23
ENSG00000130589	HELZ2	42	23
ENSG00000154723	ATP5PF	78	22
ENSG00000089063	TMEM230	76	22
ENSG00000159147	DONSON	70	22
ENSG00000132669	RIN2	69	22
ENSG00000197122	SRC	67	22
ENSG00000198053	SIRPA	62	22
ENSG00000172264	MACROD2	60	22
ENSG00000186866	POFUT2	57	22
ENSG00000160224	AIRE	39	22
ENSG00000088827	SIGLEC1	34	22
ENSG00000160199	PKNOX1	76	21
ENSG00000171456	ASXL1	71	21
ENSG00000157538	VPS26C	71	21
ENSG00000130706	ADRM1	67	21
ENSG00000101109	STK4	64	21
ENSG00000101247	NDUFAF5	61	21
ENSG00000198646	NCOA6	52	21
ENSG00000132622	HSPA12B	52	21
ENSG00000101194	SLC17A9	52	21
ENSG00000241945	PWP2	47	21
ENSG00000160201	U2AF1	46	21
ENSG00000100979	PLTP	45	21
ENSG00000132793	LPIN3	39	21
ENSG00000080839	RBL1	33	21
ENSG00000154727	GABPA	74	20
ENSG00000088826	SMOX	61	20
ENSG00000159140	SON	60	20
ENSG00000160282	FTCD	59	20
ENSG00000101079	NDRG3	58	20
ENSG00000000419	DPM1	57	20
ENSG00000159110	IFNAR2	55	20
ENSG00000154640	BTG3	54	20
ENSG00000132792	CTNNBL1	51	20
ENSG00000157554	ERG	47	20
ENSG00000125814	NAPB	38	20
ENSG00000125885	MCM8	28	20
ENSG00000157551	KCNJ15	84	19
ENSG00000265590	CFAP298-TCP10L	71	19
ENSG00000080845	DLGAP4	63	19
ENSG00000197381	ADARB1	55	19
ENSG00000101076	HNF4A	55	19
ENSG00000026559	KCNG1	55	19
ENSG00000101265	RASSF2	49	19
ENSG00000101150	TPD52L2	43	19
ENSG00000160298	C21orf58	38	19
ENSG00000175894	TSPEAR	30	19
ENSG00000101246	ARFRP1	75	18
ENSG00000124222	STX16	64	18
ENSG00000101049	SGK2	64	18
ENSG00000157578	LCA5L	62	18
ENSG00000088970	KIZ	58	18
ENSG00000026036	RTEL1-TNFRSF6B	54	18
ENSG00000101365	IDH3B	51	18
ENSG00000159259	CHAF1B	49	18
ENSG00000125877	ITPA	49	18
ENSG00000182240	BACE2	48	18
ENSG00000064787	BCAS1	46	18
ENSG00000154930	ACSS1	44	18
ENSG00000064655	EYA2	41	18
ENSG00000088298	EDEM2	39	18
ENSG00000171189	GRIK1	34	18
ENSG00000101160	CTSZ	73	17
ENSG00000101003	GINS1	73	17
ENSG00000166913	YWHAB	71	17
ENSG00000101367	MAPRE1	60	17
ENSG00000171858	RPS21	57	17
ENSG00000155307	SAMSN1	51	17
ENSG00000215440	NPEPL1	49	17
ENSG00000022277	RTF2	47	17
ENSG00000198959	TGM2	42	17
ENSG00000101363	MANBAL	40	17
ENSG00000160185	UBASH3A	39	17
ENSG00000131067	GGT7	38	17
ENSG00000101146	RAE1	35	17
ENSG00000088881	EBF4	33	17
ENSG00000101191	DIDO1	32	17
ENSG00000203880	PCMTD2	82	16
ENSG00000088899	LZTS3	64	16
ENSG00000241837	ATP5PO	61	16
ENSG00000125841	NRSN2	61	16
ENSG00000242372	EIF6	56	16
ENSG00000101425	BPI	43	16
ENSG00000088876	ZNF343	41	16
ENSG00000061656	SPAG4	40	16
ENSG00000149474	KAT14	37	16
ENSG00000197818	SLC9A8	36	16
ENSG00000158296	SLC13A3	32	16
ENSG00000087495	PHACTR3	29	16
ENSG00000196700	ZNF512B	27	16
ENSG00000129988	LBP	27	16
ENSG00000182093	GET1	64	15
ENSG00000160216	AGPAT3	54	15
ENSG00000183778	B3GALT5	52	15
ENSG00000101187	SLCO4A1	50	15
ENSG00000171552	BCL2L1	47	15
ENSG00000198171	DDRGK1	45	15
ENSG00000089195	TRMT6	43	15
ENSG00000132824	SERINC3	41	15
ENSG00000131043	AAR2	41	15
ENSG00000125835	SNRPB	40	15
ENSG00000124215	CDH26	39	15
ENSG00000101276	SLC52A3	37	15
ENSG00000020256	ZFP64	37	15
ENSG00000154734	ADAMTS1	34	15
ENSG00000154654	NCAM2	33	15
ENSG00000125977	EIF2S2	31	15
ENSG00000088882	CPXM1	30	15
ENSG00000186191	BPIFB4	28	15
ENSG00000124143	ARHGAP40	21	15
ENSG00000173638	SLC19A1	83	14
ENSG00000101181	MTG2	57	14
ENSG00000159256	MORC3	56	14
ENSG00000156273	BACH1	56	14
ENSG00000159216	RUNX1	49	14
ENSG00000124120	TTPAL	47	14
ENSG00000101400	SNTA1	47	14
ENSG00000078699	CBFA2T2	37	14
ENSG00000142178	SIK1	30	14
ENSG00000249624	IFNAR2-IL10RB	29	14
ENSG00000089048	ESF1	29	14
ENSG00000078898	BPIFB2	18	14
ENSG00000142156	COL6A1	62	13
ENSG00000244687	UBE2V1	61	13
ENSG00000197114	ZGPAT	55	13
ENSG00000160223	ICOSLG	52	13
ENSG00000125818	PSMF1	48	13
ENSG00000149600	COMMD7	44	13
ENSG00000182362	YBEY	43	13
ENSG00000180509	KCNE1	41	13
ENSG00000125870	SNRPB2	40	13
ENSG00000183527	PSMG1	38	13
ENSG00000125779	PANK2	37	13
ENSG00000167104	BPIFB6	34	13
ENSG00000149599	DUSP15	34	13
ENSG00000101457	DNTTIP1	34	13
ENSG00000101474	APMAP	29	13
ENSG00000188992	LIPI	28	13
ENSG00000244588	RAD21L1	26	13
ENSG00000149639	MTCL2	26	13
ENSG00000101306	MYLK2	26	13
ENSG00000185052	SLC24A3	19	13
ENSG00000100985	MMP9	15	13
ENSG00000101210	EEF1A2	56	12
ENSG00000203896	LIME1	50	12
ENSG00000157557	ETS2	50	12
ENSG00000242220	TCP10L	44	12
ENSG00000205670	SMIM11	44	12
ENSG00000101126	ADNP	44	12
ENSG00000125520	SLC2A4RG	43	12
ENSG00000078804	TP53INP2	37	12
ENSG00000101138	CSTF1	36	12
ENSG00000197183	NOL4L	35	12
ENSG00000160256	SLX9	34	12
ENSG00000159267	HLCS	34	12
ENSG00000154719	MRPL39	32	12
ENSG00000125510	OPRL1	32	12
ENSG00000124116	WFDC3	32	12
ENSG00000125851	PCSK2	30	12
ENSG00000124201	ZNFX1	26	12
ENSG00000101096	NFATC2	23	12
ENSG00000179242	CDH4	22	12
ENSG00000054796	SPO11	22	12
ENSG00000124232	RBPJL	21	12
ENSG00000174306	ZHX3	58	11
ENSG00000088832	FKBP1A	51	11
ENSG00000160221	GATD3	45	11
ENSG00000101307	SIRPB1	44	11
ENSG00000088766	CRLS1	37	11
ENSG00000183255	PTTG1IP	36	11
ENSG00000101182	PSMA7	36	11
ENSG00000159128	IFNGR2	35	11
ENSG00000125775	SDCBP2	35	11
ENSG00000124159	MATN4	31	11
ENSG00000125827	TMX4	28	11
ENSG00000183844	FAM3B	27	11
ENSG00000149646	CNBD2	27	11
ENSG00000175063	UBE2C	26	11
ENSG00000101445	PPP1R16B	26	11
ENSG00000019186	CYP24A1	25	11
ENSG00000167098	SUN5	19	11
ENSG00000142188	TMEM50B	46	10
ENSG00000101473	ACOT8	46	10
ENSG00000124226	RNF114	44	10
ENSG00000184787	UBE2G2	43	10
ENSG00000243646	IL10RB	40	10
ENSG00000124256	ZBP1	36	10
ENSG00000124253	PCK1	36	10
ENSG00000132823	OSER1	34	10
ENSG00000240849	PEDS1	33	10
ENSG00000124191	TOX2	32	10
ENSG00000101220	ADISSP	32	10
ENSG00000101216	GMEB2	32	10
ENSG00000149596	JPH2	30	10
ENSG00000101444	AHCY	29	10
ENSG00000173418	NAA20	25	10
ENSG00000088320	REM1	24	10
ENSG00000149654	CDH22	23	10
ENSG00000101342	TLDC2	21	10
ENSG00000166948	TGM6	19	10
ENSG00000142182	DNMT3L	19	10
ENSG00000285382		18	10
ENSG00000198183	BPIFA1	16	10
ENSG00000196476	C20orf96	15	10
ENSG00000101222	SPEF1	15	10
ENSG00000130702	LAMA5	139	9
ENSG00000125871	MGME1	48	9
ENSG00000101204	CHRNA4	48	9
ENSG00000101346	POFUT1	42	9
ENSG00000159079	CFAP298	41	9
ENSG00000142168	SOD1	36	9
ENSG00000124104	SNX21	35	9
ENSG00000101463	SYNDIG1	33	9
ENSG00000101198	NKAIN4	31	9
ENSG00000132623	ANKEF1	30	9
ENSG00000101335	MYL9	30	9
ENSG00000101407	TTI1	28	9
ENSG00000154721	JAM2	27	9
ENSG00000172296	SPTLC3	26	9
ENSG00000149657	LSM14B	26	9
ENSG00000101331	CCM2L	23	9
ENSG00000142149	HUNK	21	9
ENSG00000124193	SRSF6	21	9
ENSG00000184402	SS18L1	20	9
ENSG00000124160	NCOA5	20	9
ENSG00000101349	PAK5	19	9
ENSG00000160207	HSF2BP	17	9
ENSG00000154645	CHODL	17	9
ENSG00000244274	DBNDD2	46	8
ENSG00000101193	GID8	45	8
ENSG00000101413	RPRD1B	39	8
ENSG00000198185	ZNF334	34	8
ENSG00000132640	BTBD3	34	8
ENSG00000124164	VAPB	32	8
ENSG00000185808	PIGP	30	8
ENSG00000185437	SH3BGR	30	8
ENSG00000160307	S100B	28	8
ENSG00000160188	RSPH1	27	8
ENSG00000159263	SIM2	27	8
ENSG00000196396	PTPN1	24	8
ENSG00000101213	PTK6	23	8
ENSG00000131059	BPIFA3	19	8
ENSG00000149679	CABLES2	18	8
ENSG00000101350	KIF3B	14	8
ENSG00000158470	B4GALT5	11	8
ENSG00000125966	MMP24	11	8
ENSG00000131050	BPIFA2	10	8
ENSG00000166619	BLCAP	55	7
ENSG00000130699	TAF4	47	7
ENSG00000118707	TGIF2	38	7
ENSG00000197496	SLC2A10	34	7
ENSG00000125812	GZF1	29	7
ENSG00000171700	RGS19	28	7
ENSG00000160226	CFAP410	28	7
ENSG00000154639	CXADR	28	7
ENSG00000101144	BMP7	28	7
ENSG00000125864	BFSP1	25	7
ENSG00000087589	CASS4	25	7
ENSG00000156253	RWDD2B	24	7
ENSG00000101460	MAP1LC3A	24	7
ENSG00000101152	DNAJC5	24	7
ENSG00000132646	PCNA	23	7
ENSG00000101134	DOK5	21	7
ENSG00000101082	SLA2	20	7
ENSG00000160284	SPATC1L	19	7
ENSG00000101236	RNF24	18	7
ENSG00000060491	OGFR	17	7
ENSG00000125995	ROMO1	16	7
ENSG00000089012	SIRPG	15	7
ENSG00000272897		14	7
ENSG00000101442	ACTR5	13	7
ENSG00000101280	ANGPT4	10	7
ENSG00000130684	ZNF337	36	6
ENSG00000124243	BCAS4	33	6
ENSG00000154646	TMPRSS15	31	6
ENSG00000130584	ZBTB46	31	6
ENSG00000124205	EDN3	28	6
ENSG00000159200	RCAN1	27	6
ENSG00000124194	GDAP1L1	27	6
ENSG00000173276	ZBTB21	22	6
ENSG00000101443	WFDC2	22	6
ENSG00000185272	RBM11	21	6
ENSG00000124212	PTGIS	21	6
ENSG00000243927	MRPS6	19	6
ENSG00000101298	SNPH	19	6
ENSG00000101166	PRELID3B	19	6
ENSG00000154736	ADAMTS5	17	6
ENSG00000131055	COX4I2	17	6
ENSG00000156239	HEMK2	13	6
ENSG00000101282	RSPO4	13	6
ENSG00000130700	GATA5	12	6
ENSG00000125861	GFRA4	12	6
ENSG00000159212	CLIC6	11	6
ENSG00000101197	BIRC7	10	6
ENSG00000087510	TFAP2C	10	6
ENSG00000159261	CLDN14	34	5
ENSG00000126005	MMP24OS	34	5
ENSG00000101132	PFDN4	34	5
ENSG00000184900	SUMO3	27	5
ENSG00000196227	FAM217B	26	5
ENSG00000125895	TMEM74B	23	5
ENSG00000125821	DTD1	23	5
ENSG00000101898	MCTS2	22	5
ENSG00000101327	PDYN	22	5
ENSG00000088888	MAVS	21	5
ENSG00000197457	STMN3	20	5
ENSG00000171984	SHLD1	20	5
ENSG00000101084	RAB5IF	20	5
ENSG00000025772	TOMM34	19	5
ENSG00000124225	PMEPA1	18	5
ENSG00000124209	RAB22A	15	5
ENSG00000101412	E2F1	15	5
ENSG00000166351	POTED	14	5
ENSG00000125787	GNRH2	14	5
ENSG00000101190	TCFL5	14	5
ENSG00000101000	PROCR	14	5
ENSG00000100987	VSX1	14	5
ENSG00000125975	C20orf173	13	5
ENSG00000183421	RIPK4	12	5
ENSG00000149435	GGTLC1	12	5
ENSG00000149346	SLX4IP	12	5
ENSG00000125823	CSTL1	12	5
ENSG00000124203	ZNF831	11	5
ENSG00000125810	CD93	10	5
ENSG00000101323	HAO1	10	5
ENSG00000124145	SDC4	8	5
ENSG00000101255	TRIB3	36	4
ENSG00000196209	SIRPB2	31	4
ENSG00000154642	C21orf91	20	4
ENSG00000125534	PPDPF	20	4
ENSG00000064205	CCN5	20	4
ENSG00000171867	PRNP	19	4
ENSG00000125869	LAMP5	19	4
ENSG00000158480	SPATA2	18	4
ENSG00000125968	ID1	18	4
ENSG00000125863	MKKS	17	4
ENSG00000088356	PDRG1	17	4
ENSG00000171940	ZNF217	16	4
ENSG00000125848	FLRT3	16	4
ENSG00000205929	EPCIP	15	4
ENSG00000130590	SAMD10	15	4
ENSG00000180530	NRIP1	14	4
ENSG00000170262	MRAP	12	4
ENSG00000132821	VSTM2L	12	4
ENSG00000185019	UBOX5	11	4
ENSG00000155304	HSPA13	11	4
ENSG00000158901	WFDC8	9	4
ENSG00000101470	TNNC2	9	4
ENSG00000180083	WFDC11	7	4
ENSG00000125900	SIRPD	6	4
ENSG00000149488	TMC2	38	3
ENSG00000204070	SYS1	36	3
ENSG00000125868	DSTN	22	3
ENSG00000125843	AP5S1	20	3
ENSG00000089199	CHGB	20	3
ENSG00000125971	DYNLRB1	19	3
ENSG00000244462	RBM12	17	3
ENSG00000125872	LRRN4	17	3
ENSG00000254806	SYS1-DBNDD2	16	3
ENSG00000124251	TP53TG5	15	3
ENSG00000089050	RBBP9	14	3
ENSG00000125850	OVOL2	13	3
ENSG00000288711		12	3
ENSG00000159055	MIS18A	11	3
ENSG00000125901	MRPS26	11	3
ENSG00000125813	PAX1	11	3
ENSG00000118702	GHRH	11	3
ENSG00000101440	ASIP	11	3
ENSG00000183036	PCP4	10	3
ENSG00000101417	PXMP4	10	3
ENSG00000101189	MRGBP	9	3
ENSG00000101098	RIMS4	9	3
ENSG00000249139	EPPIN-WFDC6	7	3
ENSG00000101421	CHMP4B	7	3
ENSG00000101447	FAM83D	5	3
ENSG00000215529	EFCAB8	34	2
ENSG00000125898	FAM110A	30	2
ENSG00000160194	NDUFV3	22	2
ENSG00000285815	GET1-SH3BGR	21	2
ENSG00000132819	RBM38	17	2
ENSG00000243509	TNFRSF6B	14	2
ENSG00000101439	CST3	13	2
ENSG00000125888	BANF2	12	2
ENSG00000215251	FASTKD5	11	2
ENSG00000125834	STK35	11	2
ENSG00000101448	EPPIN	11	2
ENSG00000053438	NNAT	11	2
ENSG00000160180	TFF3	10	2
ENSG00000157542	KCNJ6	10	2
ENSG00000149658	YTHDF1	10	2
ENSG00000183145	RIPPLY3	9	2
ENSG00000101180	HRH3	9	2
ENSG00000198547	C20orf203	8	2
ENSG00000182035	ADIG	8	2
ENSG00000166265	CYYR1	8	2
ENSG00000171695	LKAAEAR1	7	2
ENSG00000125965	GDF5	7	2
ENSG00000125831	CST11	7	2
ENSG00000124134	KCNS1	7	2
ENSG00000271303	SRXN1	6	2
ENSG00000125815	CST8	6	2
ENSG00000124102	PI3	4	2
ENSG00000273154		20	1
ENSG00000158445	KCNB1	19	1
ENSG00000177692	DNAJC28	16	1
ENSG00000160213	CSTB	15	1
ENSG00000101115	SALL4	15	1
ENSG00000196421	C20orf204	14	1
ENSG00000125531	FNDC11	14	1
ENSG00000160202	CRYAA	13	1
ENSG00000198768	APCDD1L	12	1
ENSG00000160181	TFF2	12	1
ENSG00000159228	CBR1	12	1
ENSG00000205927	OLIG2	11	1
ENSG00000180483	DEFB119	10	1
ENSG00000182463	TSHZ2	9	1
ENSG00000125845	BMP2	9	1
ENSG00000124172	ATP5F1E	9	1
ENSG00000260861		8	1
ENSG00000182931	WFDC10B	8	1
ENSG00000101292	PROKR2	8	1
ENSG00000175121	WFDC5	7	1
ENSG00000124171	PARD6B	7	1
ENSG00000077984	CST7	7	1
ENSG00000170373	CST1	6	1
ENSG00000170367	CST5	6	1
ENSG00000132661	NXT1	6	1
ENSG00000285508		5	1
ENSG00000243627	SMIM34	4	1
ENSG00000184221	OLIG1	4	1
ENSG00000168612	ZSWIM1	3	1
ENSG00000288000		26	0
ENSG00000254995	STX16-NPEPL1	25	0
ENSG00000286235		24	0
ENSG00000160208	RRP1B	21	0
ENSG00000183067	IGSF5	17	0
ENSG00000125780	TGM3	17	0
ENSG00000186190	BPIFB3	16	0
ENSG00000286022		14	0
ENSG00000130701	RBBP8NL	14	0
ENSG00000274322		11	0
ENSG00000171222	SCAND1	10	0
ENSG00000125879	OTOR	10	0
ENSG00000249209		8	0
ENSG00000159197	KCNE2	8	0
ENSG00000125508	SRMS	8	0
ENSG00000124208	PEDS1-UBE2V1	8	0
ENSG00000277611		7	0
ENSG00000256566		7	0
ENSG00000125798	FOXA2	7	0
ENSG00000124091	GCNT7	7	0
ENSG00000101188	NTSR1	7	0
ENSG00000232388	SMIM26	6	0
ENSG00000160233	LRRC3	6	0
ENSG00000124103	FAM209A	6	0
ENSG00000101230	ISM1	6	0
ENSG00000284776		5	0
ENSG00000273047		5	0
ENSG00000259399	TGIF2-RAB5IF	5	0
ENSG00000258713	C20orf141	5	0
ENSG00000184617	ZNF840P	5	0
ENSG00000180383	DEFB124	5	0
ENSG00000180205	WFDC9	5	0
ENSG00000159231	CBR3	5	0
ENSG00000125788	DEFB126	5	0
ENSG00000124233	SEMG1	5	0
ENSG00000124098	FAM210B	5	0
ENSG00000101074	R3HDML	5	0
ENSG00000293606		4	0
ENSG00000261582		4	0
ENSG00000204548	DEFB121	4	0
ENSG00000198326	TMEM239	4	0
ENSG00000183798	EMILIN3	4	0
ENSG00000178591	DEFB125	4	0
ENSG00000172315	TP53RK	4	0
ENSG00000171873	ADRA1D	4	0
ENSG00000168634	WFDC13	4	0
ENSG00000132801	ZSWIM3	4	0
ENSG00000125998	FAM83C	4	0
ENSG00000124257	NEURL2	4	0
ENSG00000124237	CIMIP1	4	0
ENSG00000124227	ANKRD60	4	0
ENSG00000124107	SLPI	4	0
ENSG00000101162	TUBB1	4	0
ENSG00000285723		3	0
ENSG00000270299		3	0
ENSG00000260903	XKR7	3	0
ENSG00000243543	WFDC6	3	0
ENSG00000241690		3	0
ENSG00000221837	KRTAP10-9	3	0
ENSG00000205445	KRTAP10-2	3	0
ENSG00000170369	CST2	3	0
ENSG00000168703	WFDC12	3	0
ENSG00000160182	TFF1	3	0
ENSG00000149651	SPINT4	3	0
ENSG00000149635	OCSTAMP	3	0
ENSG00000149609	C20orf144	3	0
ENSG00000126003	PLAGL2	3	0
ENSG00000125522	NPBWR2	3	0
ENSG00000124216	SNAI1	3	0
ENSG00000124196	GTSF1L	3	0
ENSG00000124157	SEMG2	3	0
ENSG00000101441	CST4	3	0
ENSG00000101435	CST9L	3	0
ENSG00000101405	OXT	3	0
ENSG00000101200	AVP	3	0
ENSG00000054803	CBLN4	3	0
ENSG00000288593		2	0
ENSG00000233056	ERVH48-1	2	0
ENSG00000232838	PET117	2	0
ENSG00000215595	C20orf202	2	0
ENSG00000215547	DEFB115	2	0
ENSG00000215545	DEFB116	2	0
ENSG00000215397	SCRT2	2	0
ENSG00000213714	FAM209B	2	0
ENSG00000203883	SOX18	2	0
ENSG00000198743	SLC5A3	2	0
ENSG00000197296	FITM2	2	0
ENSG00000186458	DEFB132	2	0
ENSG00000185982	DEFB128	2	0
ENSG00000180424	DEFB123	2	0
ENSG00000180305	WFDC10A	2	0
ENSG00000173335	CST9	2	0
ENSG00000172216	CEBPB	2	0
ENSG00000171864	PRND	2	0
ENSG00000170191	NANP	2	0
ENSG00000149634	SPATA25	2	0
ENSG00000131068	DEFB118	2	0
ENSG00000125903	DEFB129	2	0
ENSG00000125878	TCF15	2	0
ENSG00000125820	NKX2-2	2	0
ENSG00000125816	NKX2-4	2	0
ENSG00000125533	BHLHE23	2	0
ENSG00000124249	KCNK15	2	0
ENSG00000124097	HMGB1P1	2	0
ENSG00000101446	SPINT3	2	0
ENSG00000101438	SLC32A1	2	0
ENSG00000088782	DEFB127	2	0
